-1.5708	-1.00000e+00	6.12323e-17
-1.4597	-9.93838e-01	1.10838e-01
-1.3487	-9.75430e-01	2.20311e-01
-1.2376	-9.45001e-01	3.27068e-01
-1.1265	-9.02927e-01	4.29795e-01
-1.0155	-8.49725e-01	5.27225e-01
-0.9044	-7.86053e-01	6.18159e-01
-0.7933	-7.12694e-01	7.01475e-01
-0.6823	-6.30553e-01	7.76146e-01
-0.5712	-5.40641e-01	8.41254e-01
-0.4601	-4.44067e-01	8.95994e-01
-0.3491	-3.42020e-01	9.39693e-01
-0.2380	-2.35759e-01	9.71812e-01
-0.1269	-1.26592e-01	9.91955e-01
-0.0159	-1.58660e-02	9.99874e-01
0.0952	9.50560e-02	9.95472e-01
0.2063	2.04807e-01	9.78802e-01
0.3173	3.12033e-01	9.50071e-01
0.4284	4.15415e-01	9.09632e-01
0.5395	5.13677e-01	8.57983e-01
0.6505	6.05610e-01	7.95762e-01
0.7616	6.90079e-01	7.23734e-01
0.8727	7.66044e-01	6.42788e-01
0.9837	8.32570e-01	5.53920e-01
1.0948	8.88835e-01	4.58227e-01
1.2059	9.34148e-01	3.56886e-01
1.3169	9.67949e-01	2.51148e-01
1.4280	9.89821e-01	1.42315e-01
1.5391	9.99497e-01	3.17279e-02
1.6501	9.96855e-01	-7.92500e-02
1.7612	9.81929e-01	-1.89251e-01
1.8723	9.54902e-01	-2.96920e-01
1.9833	9.16108e-01	-4.00931e-01
2.0944	8.66025e-01	-5.00000e-01
2.2055	8.05270e-01	-5.92908e-01
2.3165	7.34592e-01	-6.78509e-01
2.4276	6.54861e-01	-7.55750e-01
2.5387	5.67060e-01	-8.23677e-01
2.6497	4.72271e-01	-8.81453e-01
2.7608	3.71662e-01	-9.28368e-01
2.8719	2.66474e-01	-9.63842e-01
2.9829	1.58001e-01	-9.87439e-01
3.0940	4.75819e-02	-9.98867e-01
3.2051	-6.34239e-02	-9.97987e-01
3.3161	-1.73648e-01	-9.84808e-01
3.4272	-2.81733e-01	-9.59493e-01
3.5383	-3.86345e-01	-9.22354e-01
3.6493	-4.86197e-01	-8.73849e-01
3.7604	-5.80057e-01	-8.14576e-01
3.8715	-6.66769e-01	-7.45264e-01
3.9825	-7.45264e-01	-6.66769e-01
4.0936	-8.14576e-01	-5.80057e-01
4.2047	-8.73849e-01	-4.86197e-01
4.3157	-9.22354e-01	-3.86345e-01
4.4268	-9.59493e-01	-2.81733e-01
4.5379	-9.84808e-01	-1.73648e-01
4.6489	-9.97987e-01	-6.34239e-02
4.7600	-9.98867e-01	4.75819e-02
4.8711	-9.87439e-01	1.58001e-01
4.9821	-9.63842e-01	2.66474e-01
5.0932	-9.28368e-01	3.71662e-01
5.2043	-8.81453e-01	4.72271e-01
5.3153	-8.23677e-01	5.67060e-01
5.4264	-7.55750e-01	6.54861e-01
5.5375	-6.78509e-01	7.34592e-01
5.6485	-5.92908e-01	8.05270e-01
5.7596	-5.00000e-01	8.66025e-01
5.8707	-4.00931e-01	9.16108e-01
5.9817	-2.96920e-01	9.54902e-01
6.0928	-1.89251e-01	9.81929e-01
6.2039	-7.92500e-02	9.96855e-01
6.3149	3.17279e-02	9.99497e-01
6.4260	1.42315e-01	9.89821e-01
6.5371	2.51148e-01	9.67949e-01
6.6481	3.56886e-01	9.34148e-01
6.7592	4.58227e-01	8.88835e-01
6.8703	5.53920e-01	8.32570e-01
6.9813	6.42788e-01	7.66044e-01
7.0924	7.23734e-01	6.90079e-01
7.2034	7.95762e-01	6.05610e-01
7.3145	8.57983e-01	5.13677e-01
7.4256	9.09632e-01	4.15415e-01
7.5366	9.50071e-01	3.12033e-01
7.6477	9.78802e-01	2.04807e-01
7.7588	9.95472e-01	9.50560e-02
7.8698	9.99874e-01	-1.58660e-02
7.9809	9.91955e-01	-1.26592e-01
8.0920	9.71812e-01	-2.35759e-01
8.2030	9.39693e-01	-3.42020e-01
8.3141	8.95994e-01	-4.44067e-01
8.4252	8.41254e-01	-5.40641e-01
8.5362	7.76146e-01	-6.30553e-01
8.6473	7.01475e-01	-7.12694e-01
8.7584	6.18159e-01	-7.86053e-01
8.8694	5.27225e-01	-8.49725e-01
8.9805	4.29795e-01	-9.02927e-01
9.0916	3.27068e-01	-9.45001e-01
9.2026	2.20311e-01	-9.75430e-01
9.3137	1.10838e-01	-9.93838e-01
9.4248	3.67394e-16	-1.00000e+00
